GENESIS-Tabelle: 41241-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation (field crops and grassland): Germany,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"years (until 2009), types of crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area under cultivation (ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
"Spring rape, winter and spring bird rape",7816,9313,5101,3877,3284,5268,6459,10584,8663,7491,7035,9649,9295,10375,9063,6959,7243,7735,7001,9219,10481,12161,9168,10337,7626,9377,8550,8031,7824,8205,8457,7066,9122,8837,8457,9309,10288,7670,10065,10579,.,16606,80022,59904,107485,41870,76435,55696,48694,47639,31794,22111,20642,47556,16161,20900,19000,9567,7300,6800
Sunflowers,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43899,64993,81543,188892,52160,43758,34445,33704,33354,25794,24583,26101,37200,31557,27100,32000,19161,24900,23600
Flax,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8040,77648,30075,28336,53504,81619,89215,103669,186819,102483,33044,10341,16246,12933,14400,13700,6087,4200,4100
Other oleaginous fruit,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19167,6056,12269,8408,13701,12238,10651,8708,10116,13118,9273,3881,4112,4656,3863,6900,8500,5199,4900,7900
Hops,.,7295,7456,8234,8014,7765,7787,7978,8742,8737,8405,8198,8416,9076,9579,10412,11014,11597,11812,11777,12792,15391,18172,19845,19986,20035,19500,19068,17497,17122,17802,19038,19849,19648,19491,19459,19510,19164,19647,19799,22439,22478,22757,23016,21947,21807,21814,21383,19789,18492,18697,19923,18563,17887,17875,17300,18100,17834,19200,19000
Tobacco,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5199,2873,3002,3183,3567,3180,3185,3383,3522,4314,4400,4163,4789,4600,4389,4600,3300,3166,3300,3300
Beet and grasses for seed production,18020,18013,14800,13201,14613,18255,18476,18301,20054,20367,18727,20623,17074,15468,16010,16383,17377,15881,14350,.,.,13999,14852,13631,13894,14953,10992,10010,9856,8411,8551,8696,8822,7808,8991,8994,10653,9881,10599,11164,112711,49639,39297,30168,26168,26406,27322,29742,31382,29054,26163,25102,23421,25824,29865,32400,30700,29054,25800,27000
Medicinal and culinary plants,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7164,3020,2739,2461,3423,3822,4659,5478,5855,6093,5705,5434,5363,6065,6657,6300,6000,6089,5700,5700
All other industrial crops,28456,30890,25591,19389,19515,19512,18699,14511,14505,11318,10659,8479,8056,7989,7660,6195,6634,6050,5160,17991,19339,5766,5702,5409,5674,5442,5271,5084,5266,4561,4505,4894,4441,3796,4081,4135,5474,14640,23023,25633,.,5130,3390,3903,4509,3866,3652,4623,5619,6302,5636,5626,4749,5834,6512,8700,10100,9568,13000,16200
Fodder plants,1253973,1306139,1197213,1137593,1135066,1100443,1029265,1028277,1007480,988724,954102,979591,933069,936979,919971,919053,947210,914935,839682,844329,838905,835300,840079,870165,869974,895361,920768,928349,960005,970384,1002983,1040696,1085830,1104072,1175283,1223886,1254528,1223942,1215233,1202181,2251419,2017049,1872236,1854133,1768910,1792458,1861772,1840453,1772267,1708851,1623097,1580904,1540208,1589324,1719416,1805000,1955500,2087549,2261200,2347300
